I5,318,5381,78.5,68.5
I5,320,3864.7,78.5,49.2
I5,322,2931.8,78.5,37.3
I5,324,2607.9,78.5,33.2
I5,326,8395.6,78.5,106.9
I5,328,8336.4,78.5,106.1
I5,330,4328.3,78.5,55.1
I5,332,1002.5,78.5,12.8
I5,334,831.5,78.5,10.6
I5,336,686.9,78.4,8.8
I5,338,591.8,78.4,7.6
I5,340,552.8,78.3,7.1
I5,342,509.2,78.3,6.5
I5,344,477.4,78.3,6.1
I5,346,441.9,78.4,5.6
I5,348,402.3,78.4,5.1
I5,350,355.2,78.5,4.5
I5,352,303.9,78.4,3.9
I5,354,251.1,78.3,3.2
I5,356,205.3,78.3,2.6
I5,358,183.5,78.3,2.3
I5,360,183.5,78.3,2.3
I5,362,183.5,78.3,2.3
I5,364,183.5,78.3,2.3
I5,366,184.2,78.4,2.3
I5,368,185.2,78.5,2.4
I5,370,186,78.5,2.4
I5,372,185.4,78,2.4
I5,374,185.6,78,2.4
I5,376,198.6,77.8,2.6
I5,378,223.5,77.7,2.9
I5,380,254.3,77.6,3.3
I5,382,289,77.6,3.7
I5,384,335.1,77.7,4.3
I5,386,381.7,78,4.9
I5,388,420.6,78.1,5.4
I5,390,453,78.2,5.8
I5,392,438.8,78.2,5.6
I5,394,400.2,78.1,5.1
I5,396,358.3,77.3,4.6
I5,398,4589.5,77.2,59.4
I5,400,6897.9,77.2,89.4
I5,402,5253.9,76.8,68.4
I5,404,2662.9,74.4,35.8
I5,406,1774.5,72.1,24.6
I5,408,1986.8,72.2,27.5
I5,410,2261.4,74.3,30.4
I5,412,2167.9,76.7,28.3
I5,414,1495.7,77.8,19.2
I5,416,2791.7,77.8,35.9
I5,418,6209.2,78,79.6
I5,420,7976.7,78.2,102
I5,422,7763.1,78.3,99.1
I5,424,7487.5,78.4,95.5
I5,426,2158.1,78.5,27.5
I5,428,641,78.5,8.2
I5,430,10677.8,78.5,136
I5,432,21955.8,78.5,279.6
I5,434,22228.4,78.5,283
I5,436,22181.4,78.5,282.4
I5,438,15579,78.5,198.4
I5,440,1272.8,78.5,16.2
I5,442,1101.7,78.5,14
I5,444,1119.4,78.5,14.3
I5,446,1177,78.5,15
I5,448,1284.4,78.5,16.4
I5,450,1887.3,78.5,24
I5,452,5915.8,78,75.8
I5,454,17956.4,77.6,231.5
I5,456,32612.1,76.8,424.4
I5,458,39090.5,76,514.3
I5,460,31203.6,75.9,411.4
I5,462,71077.2,76.1,933.6
